Price,Close,High,Low,Open,Volume
Ticker,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS
Date,,,,,
2018-05-07,1238.5699462890625,1242.2008520137872,1223.0013754382824,1228.572204873792,2305468
2018-05-08,1235.3865966796875,1241.0072147650183,1219.4202039719557,1241.0072147650183,2674288
2018-05-09,1244.638427734375,1248.7668533915594,1226.4834096606712,1235.2375372954853,1671216
2018-05-10,1241.007080078125,1253.4420207602705,1236.431046194089,1247.9706468601266,984467
2018-05-11,1260.7042236328125,1265.777655743512,1241.5544127199407,1243.4942151215378,1416236
2018-05-14,1264.98193359375,1281.4458476938,1249.7118469547747,1261.400694080521,1674393
2018-05-15,1277.16796875,1297.6607283992603,1252.696027753894,1267.3692589703878,3979395
2018-05-16,1274.7308349609375,1286.320225522596,1258.41616630446,1265.3797340231408,1381194
2018-05-17,1264.08642578125,1289.254797170374,1258.4161407565766,1278.312048120317,2201571
2018-05-18,1287.6630859375,1290.2993178213537,1260.4056698943061,1261.4004652138753,3368549
2018-05-21,1270.0054931640625,1293.1841516897798,1262.9424705478134,1293.1841516897798,1998879
2018-05-22,1256.1280517578125,1277.565940327172,1252.0992034131748,1270.1547634735314,1357645
2018-05-23,1248.816162109375,1258.3661719876789,1235.535670135252,1253.4419841951833,1512791
2018-05-24,1268.8116455078125,1272.8904034780405,1239.664215419567,1243.991550785444,1572433
2018-05-25,1289.1053466796875,1300.0480939734587,1265.876902847629,1271.2984881601037,1065643
2018-05-28,1290.39892578125,1302.8835356583763,1283.0872036040898,1293.2340684905582,1527809
2018-05-29,1277.5657958984375,1294.1291610471858,1271.7959348921277,1290.3488905347806,1094590
2018-05-30,1296.467041015625,1301.5902613595788,1263.6885827785945,1270.2044194657767,2044432
2018-05-31,1327.65380859375,1392.7134467503695,1294.6763194783443,1300.098026828465,6684898
2018-06-01,1311.14013671875,1327.0568606849868,1300.346632566139,1310.14534147086,2332688
2018-06-04,1297.163330078125,1327.0569785052517,1286.2703697206075,1327.0569785052517,1462047
2018-06-05,1297.909423828125,1305.8181195952177,1290.4484588223645,1297.163327327549,2085438
2018-06-06,1308.8524169921875,1314.0750934717971,1293.2341759033545,1300.1977445428342,1030269
2018-06-07,1303.6295166015625,1327.7533038162653,1299.7001235467676,1317.109042155316,2049203
2018-06-08,1311.4886474609375,1318.0542735957044,1294.4776683824505,1301.192538131985,1848047
2018-06-11,1316.4625244140625,1322.9286947896676,1312.1351885266172,1317.1091657386212,1311222
2018-06-12,1322.381591796875,1325.714132145247,1313.2294011312858,1322.0831045988173,977752
2018-06-13,1318.7503662109375,1324.6693494586582,1305.8180277769532,1324.4704389798153,1495398
2018-06-14,1325.7139892578125,1331.0859081989493,1312.6324066926754,1318.053992538144,1584229
2018-06-15,1333.0257568359375,1337.502335870088,1315.4675947816627,1325.6642470261165,1658235
2018-06-18,1308.454345703125,1334.0205371019304,1304.9227737087676,1333.0257417722496,1803688
2018-06-19,1296.467041015625,1315.2686974339813,1293.432866621493,1308.4543735675475,1616945
2018-06-20,1317.7060546875,1321.4863260458121,1292.2891033013284,1302.1872696494179,1125338
2018-06-21,1307.1112060546875,1325.0673093842202,1304.2760638013324,1325.0673093842202,915466
2018-06-22,1314.5225830078125,1317.1090265978219,1301.6399105286675,1311.3889534082919,1267210
2018-06-25,1321.0882568359375,1328.0518244548016,1308.1559169723325,1314.1246892170734,1051297
2018-06-26,1322.928466796875,1335.114708866114,1313.2790012425676,1315.1193482068466,1637022
2018-06-27,1317.3079833984375,1332.8268883539822,1313.2293466590882,1325.0674358762099,1308470
2018-06-28,1332.1304931640625,1342.8743320363699,1305.2710174182791,1312.1351299514208,4308361
2018-06-29,1335.9603271484375,1352.9216359376758,1328.3502400942687,1329.046548244658,2305393
2018-07-02,1330.9862060546875,1347.3506601620804,1325.0672231140115,1341.8294981584538,1301687
2018-07-03,1346.107421875,1349.9373598839152,1320.690350791769,1330.0414518532016,1487237
2018-07-04,1358.144287109375,1362.770109554259,1339.342631599991,1348.047090499245,1347778
2018-07-05,1357.8958740234375,1370.3806062743558,1356.40368075528,1365.8542381202783,1814111
2018-07-06,1364.0631103515625,1369.6340605406494,1351.130772934678,1351.130772934678,1042184
2018-07-09,1377.8909912109375,1380.527223129923,1360.3826176401872,1367.7441273900984,1875664
2018-07-10,1365.008544921875,1381.3728808280348,1359.089439376572,1378.935680649666,1476023
2018-07-11,1380.435546875,1383.3219500826967,1360.5792991907863,1365.4064947897675,1447218
2018-07-12,1383.272216796875,1393.9219107507772,1375.7078164777802,1388.3482380132496,1599679
2018-07-13,1397.75390625,1405.2684933724065,1378.7436410393036,1378.7436410393036,1439199
2018-07-16,1401.8345947265625,1410.3444847825738,1391.632738008834,1403.1783511015872,1505129
2018-07-17,1394.0213623046875,1409.100227106042,1386.6560957799156,1401.8344665822235,1449255
2018-07-18,1391.981201171875,1401.3369531282067,1385.6609292799164,1397.40555447615,1373015
2018-07-19,1341.0714111328125,1401.386754238872,1327.5850056306645,1401.386754238872,6013280
2018-07-20,1327.0377197265625,1360.1315489960432,1324.7484739151507,1333.7062021384688,3305843
2018-07-23,1330.7701416015625,1344.6545721152906,1316.0894199592972,1323.7532057093536,1957666
2018-07-24,1306.08642578125,1342.6139990732452,1299.0197984341962,1335.6966914829015,3125964
2018-07-25,1308.72412109375,1311.3118849544187,1287.9222612000135,1302.8518082772935,3117078
2018-07-26,1305.0911865234375,1316.2883463696824,1288.2705398772418,1305.489332061807,3664497
2018-07-27,1304.94189453125,1320.7672384167972,1299.517541133523,1306.8828085107484,1885821
2018-07-30,1299.119384765625,1301.7569623074069,1279.4621483364956,1301.7569623074069,1720338
2018-07-31,1300.7119140625,1307.4302104116928,1281.1044903532722,1297.6763123140086,1827739
2018-08-01,1306.5343017578125,1319.871387301036,1298.7211968957054,1298.7211968957054,1684489
2018-08-02,1274.1871337890625,1304.8425215673135,1270.7035725186693,1303.498886519557,2065057
2018-08-03,1303.349365234375,1307.8282290324312,1283.293984150354,1290.9080769064408,2745717
2018-08-06,1276.7747802734375,1307.8281863271739,1272.9925801464653,1307.7783725767063,1895761
2018-08-07,1277.670654296875,1292.7993356581053,1268.1655817462351,1280.9552034172461,1751392
2018-08-08,1282.2490234375,1293.5953815012545,1276.5260306521839,1281.9503839107865,1517072
2018-08-09,1271.2508544921875,1285.9315748709384,1264.1344131956387,1285.9315748709384,1422779
2018-08-10,1279.462158203125,1283.841516221766,1266.0255661099766,1267.0706829826731,1539484
2018-08-13,1281.1044921875,1285.185210861607,1269.011534442245,1269.011534442245,1981311
2018-08-14,1286.927001953125,1292.6998089520118,1278.964576573678,1283.9410924358324,1605329
2018-08-16,1239.550537109375,1266.025575954952,1236.9129595267427,1264.0349697034505,5749494
2018-08-17,1257.3167724609375,1267.9664681450154,1239.1524889878228,1246.1196114158668,3253970
2018-08-20,1268.7625732421875,1274.236740061432,1255.524993971414,1257.316588074676,1054743
2018-08-21,1257.4659423828125,1266.6226821696293,1254.330713364438,1263.28844113296,1143471
2018-08-23,1241.839599609375,1258.0630883506547,1232.1852083687581,1258.0630883506547,3151993
2018-08-24,1248.607666015625,1258.0132311624377,1236.5147097576134,1243.0339932805896,2214361
2018-08-27,1268.9119873046875,1278.9147108832547,1252.3899796126395,1254.131760093665,2499503
2018-08-28,1279.064208984375,1288.917735664527,1269.1609900388726,1273.391028939702,1608796
2018-08-29,1282.5474853515625,1288.9174491680774,1269.0113881770646,1276.1278292807426,1473564
2018-08-30,1272.0472412109375,1275.9786400600738,1257.466025743931,1275.9786400600738,2372843
2018-08-31,1281.2037353515625,1287.9220303320426,1269.5587393175076,1269.5587393175076,1569633
2018-09-03,1263.13916015625,1288.917535158819,1259.0584416802362,1285.9316258109607,2076747
2018-09-04,1251.6932373046875,1269.3101762416666,1245.2237667254678,1264.0350208629,2001489
2018-09-05,1232.3343505859375,1260.0535129659343,1221.8338560457787,1251.095786570442,2262546
2018-09-06,1254.977783203125,1258.6603563094243,1232.3346362326595,1236.1665291128832,2947633
2018-09-07,1239.1025390625,1254.0818992354855,1232.2847371636672,1251.0959899515915,1452290
2018-09-10,1217.60400390625,1235.6687791860907,1209.2932474515508,1235.1711276439296,2437820
2018-09-11,1200.733642578125,1221.8838327210485,1198.0960651550279,1221.2368614290504,2287373
2018-09-12,1224.620849609375,1227.9550903984023,1194.363613761364,1200.3354318301706,2105288
2018-09-14,1233.72802734375,1238.8040489413356,1222.7796930561499,1234.1758651476396,1921249
2018-09-17,1224.620849609375,1233.0809252068514,1215.9119482590318,1221.8837663278384,1861679
2018-09-18,1209.5916748046875,1228.0544708821853,1204.8141722391651,1222.1821594153373,2270665
2018-09-19,1221.1373291015625,1228.2039564152578,1211.283804665615,1211.283804665615,2077024
2018-09-21,1174.6568603515625,1240.1478635418928,1137.6316276311263,1221.2371015777708,4533128
2018-09-24,1143.3045654296875,1177.393694906901,1138.9253292053609,1174.4575995069154,3457790
2018-09-25,1177.7919921875,1185.5055918222433,1114.8888798939302,1140.617442763325,3776071
2018-09-26,1163.907470703125,1183.0670553989278,1155.8455398837636,1180.528983892388,2446177
2018-09-27,1137.083984375,1171.6210750369216,1133.600423505458,1166.4952397437746,3967316
2018-09-28,1136.2379150390625,1157.5374241858976,1128.0266650394635,1141.6125757018267,3421603
2018-10-01,1116.7301025390625,1125.4888186087423,997.4928007099891,1084.8804026449002,10535080
2018-10-03,1093.091552734375,1133.202313443509,1080.9985966200766,1111.6539785438915,2961974
2018-10-04,1069.4532470703125,1089.4091240578944,1051.6372961794266,1079.9039302664394,3439111
2018-10-05,1047.2576904296875,1083.8350729703604,1035.562881045935,1065.6707945658086,3767039
2018-10-08,1099.11328125,1111.5545702187044,1039.2457744332023,1045.1180871258232,4067810
2018-10-09,1103.24365234375,1121.208921567742,1080.4014952168523,1100.8052083922971,3114848
2018-10-10,1132.406005859375,1141.2144132469598,1107.025778964702,1108.269907734049,3385261
2018-10-11,1110.310302734375,1114.7393524556207,1089.856777624022,1094.8332925903417,2283217
2018-10-12,1161.668212890625,1167.6400323924436,1116.7302468400455,1116.7302468400455,6276615
2018-10-15,1164.9525146484375,1178.239908799618,1152.0633875506526,1164.5046768330571,3181839
2018-10-16,1170.227783203125,1176.1497888761253,1157.2888410966902,1165.9977444375597,3685402
2018-10-17,1170.476318359375,1183.066925505062,1166.7439321401168,1179.4340452855947,4792844
2018-10-19,1193.318603515625,1200.3355389715814,1155.148753918201,1159.528111858949,3566784
2018-10-22,1158.53271484375,1213.4733929282816,1152.063245216186,1199.5391506535286,4342603
2018-10-23,1168.9337158203125,1174.2586847788293,1138.1789462116767,1144.598602820012,2237537
2018-10-24,1171.5712890625,1189.4370531295222,1148.5299973225092,1179.4342080824424,4309834
2018-10-25,1180.23046875,1188.5909176219793,1159.5281155980488,1167.49054042619,3613893
2018-10-26,1153.1580810546875,1187.3965300253885,1146.8877447834045,1179.4341056832234,1842212
2018-10-29,1132.75439453125,1147.4849284992385,1093.290603685303,1146.6886374480666,3711300
2018-10-30,1118.521728515625,1140.6174098457882,1110.0616517410272,1134.645590946072,1950633
2018-10-31,1113.8934326171875,1129.668961659026,1101.8004762612704,1123.7966493651081,2764840
2018-11-01,1104.338623046875,1121.457788075693,1095.9282388025783,1118.422064967362,2669317
2018-11-02,1127.87744140625,1140.617369878018,1107.2747155229451,1112.9977084346367,3900710
2018-11-05,1124.1451416015625,1129.6691229159312,1110.2607106720013,1129.6691229159312,1403820
2018-11-06,1120.0145263671875,1134.6454320234468,1115.883994574028,1123.1496336528505,2106333
2018-11-07,1128.972412109375,1133.9489278614274,1127.0314980678945,1128.6737725654652,163566
2018-11-09,1130.216552734375,1133.5009802665122,1110.5095015536808,1126.6831779150943,1636807
2018-11-12,1148.281005859375,1156.4922554903708,1132.804117331848,1133.6501005701975,2287379
2018-11-13,1160.4239501953125,1165.8981174415837,1134.6455746816607,1144.5986060385173,2117621
2018-11-14,1124.5931396484375,1169.4812908532833,1117.1283654515016,1164.6042807452234,2706898
2018-11-15,1156.7911376953125,1160.5235246743252,1126.6832160646106,1133.6503384254343,3049191
2018-11-16,1163.111328125,1167.4906866282865,1147.3357962581051,1166.4953834001294,1862043
2018-11-19,1169.72998046875,1183.365584482109,1159.5281235874015,1169.4811546911562,2005694
2018-11-20,1164.454833984375,1172.7657122149544,1156.6915425642921,1164.5046477390463,1805161
2018-11-21,1171.173095703125,1179.4341599369097,1164.3552938459195,1164.454799855383,1432572
2018-11-22,1165.101806640625,1176.448286495046,1162.1158972840385,1165.4999521875625,1257089
2018-11-26,1165.0521240234375,1174.4576899757287,1147.634319299221,1167.6398878544996,2456379
2018-11-27,1168.0380859375,1173.4126258679796,1157.63709489336,1157.63709489336,1737759
2018-11-28,1154.800537109375,1182.1215613342467,1152.1629593315579,1166.6446694816862,1950956
2018-11-29,1207.2529296875,1214.170359607067,1151.5657660062118,1160.0258429388418,6607241
2018-11-30,1228.1541748046875,1232.583346365,1192.0744385119885,1203.321411803392,3005495
2018-12-03,1220.3409423828125,1238.1568897746174,1212.677158142953,1234.1756779103903,1817913
2018-12-04,1219.5450439453125,1230.493379005144,1204.3168565814854,1221.2370107648617,1565130
2018-12-05,1205.8096923828125,1222.6303388871318,1197.3496161258963,1215.8125370265382,2856527
2018-12-06,1174.7064208984375,1199.3401713049077,1165.6491874726212,1199.3401713049077,3097300
2018-12-07,1273.6396484375,1339.628171702615,1170.6257765988769,1175.4529723808112,33807619
2018-12-10,1192.721435546875,1283.8414821837325,1182.4200728479702,1238.2565519886214,18948035
2018-12-11,1212.975830078125,1233.180531452113,1165.499921170641,1183.4153768333836,10078591
2018-12-12,1231.339111328125,1255.077063204329,1218.4498647832513,1223.6255131997875,6563999
2018-12-13,1258.461181640625,1265.8264483983555,1222.829284392037,1234.1757632894107,4227732
2018-12-14,1250.0509033203125,1265.726927439685,1241.2424950192958,1258.4612875714233,2671529
2018-12-17,1216.7081298828125,1260.0536250625355,1201.3805605511764,1254.081806934277,7385641
2018-12-18,1231.2894287109375,1233.8275001899867,1208.2979516243956,1209.1937487050577,3678466
2018-12-19,1219.8931884765625,1239.8489414191713,1216.3598141054738,1232.9814476790084,3032003
2018-12-20,1230.4932861328125,1233.5787014810426,1209.8904388134154,1214.0707847825647,2300954
2018-12-21,1221.4359130859375,1237.0622446203995,1217.9026599867368,1234.175841337235,2208029
2018-12-24,1232.6829833984375,1237.6096855205396,1215.2651778195334,1224.2229064029698,1539829
